chr,category,startpos,endpos,sample_count,fragment_count,total_fragment_size_bp,region_id,ensembl_chr,hgnc_symbol,ensembl_gene_id,chromosome_name,start_position,end_position,gene_biotype,gene_name,census_genome_location,census_tier,census_hallmark,tumour_types_somatic,tumour_types_germline,cancer_syndrome,tissue_type,molecular_genetics,role_in_cancer,mutation_types,present_in_cancer_gene_census
19,3,29567046,46511617,1,1,16944571,11498,19,CIC,ENSG00000079432,19,42268508,42295801,protein_coding,capicua homolog,19:42284665-42295797,1,Yes,"oligodendroglioma, soft tissue sarcoma",NA,NA,"O, M",Rec,"oncogene, TSG, fusion","Mis, F, S,T",TRUE
16,3,97610,24135112,2,2,24037502,1246,16,CIITA,ENSG00000179583,16,10866222,10943021,protein_coding,"class II, major histocompatibility complex, transactivator",16:10877198-10924983,1,Yes,"PMBL, Hodgkin lymphoma",NA,NA,L,Dom,"TSG, fusion",T,TRUE
12,3,176089,133810703,1,1,133634614,7745,12,CLIP1,ENSG00000130779,12,122271432,122422778,protein_coding,CAP-GLY domain containing linker protein 1,12:122271434-122422569,1,Yes,Spitzoid tumour,NA,NA,E,Dom,fusion,T,TRUE
11,3,1009622,76928149,1,1,75918527,7018,11,CLP1,ENSG00000172409,11,57638605,57662755,protein_coding,cleavage and polyadenylation factor I subunit 1,11:57657158-57661868,2,NA,AML,NA,NA,L,Dom,fusion,T,TRUE
17,3,6115,72209858,1,1,72203743,10064,17,CLTC,ENSG00000141367,17,59619606,59696956,protein_coding,"clathrin, heavy polypeptide (Hc)",17:59619689-59696956,1,Yes,"ALCL, renal",NA,NA,L,Dom,"TSG, fusion",T,TRUE
22,3,16157565,28381376,1,1,12223811,12376,22,CLTCL1,ENSG00000070371,22,19179319,19291774,protein_coding,"clathrin, heavy polypeptide-like 1",22:19179473-19291714,1,Yes,ALCL,NA,NA,L,Dom,"TSG, fusion",T,TRUE
16,3,46508314,90142087,1,1,43633773,9687,16,CMTR2,ENSG00000180917,16,71280073,71289715,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
8,5,183002,144566969,1,1,144383967,5150,8,CNBD1,ENSG00000176571,8,86866407,87615219,protein_coding,cyclic nucleotide binding domain containing 1,8:86866445-87382859,2,NA,"gastric cancer, colon cancer",NA,NA,E,NA,NA,Mis,TRUE
3,3,239347,197581147,2,2,197341800,664,3,CNBP,ENSG00000169714,3,129167291,129184008,protein_coding,"CCHC-type zinc finger, nucleic acid binding protein",3:129170102-129183910,1,Yes,aneurysmal bone cyst,NA,NA,M,Dom,"TSG, fusion",T,TRUE
1,2,69511,27320356,1,1,27250845,1611,1,CNKSR1,ENSG00000142675,1,26177459,26189886,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
19,3,29567046,59082605,3,3,29515559,508,19,CNOT3,ENSG00000088038,19,54137710,54155708,protein_coding,CCR4-NOT transcription complex subunit 3,19:54141396-54155680,1,Yes,T-ALL,NA,NA,L,Rec,TSG,"Mis, N, F",TRUE
9,4,66457127,126125318,1,1,59668191,5974,9,CNTRL,ENSG00000119397,9,121074660,121177786,protein_coding,centriolin,9:121075012-121177608,1,NA,"MPN, NHL",NA,NA,L,Dom,fusion,T,TRUE
17,2,6115,56621359,1,1,56615244,10006,17,COL1A1,ENSG00000108821,17,50184101,50201704,protein_coding,"collagen, type I, alpha 1",17:50183289-50201632,1,NA,"DFSP, aneurysmal bone cyst",NA,NA,M,Dom,fusion,T,TRUE
12,3,176089,133810703,1,1,133634614,7745,12,COL2A1,ENSG00000139219,12,47972967,48004689,protein_coding,"collagen, type II, alpha 1",12:47972965-48004486,1,NA,"chondrosarcoma, enchondroma",NA,NA,"L, E, M",Rec,fusion,"F, Mis, N, T",TRUE
2,3,45895,202712095,1,1,202666200,2232,2,COL5A2,ENSG00000204262,2,189030743,189225312,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
8,5,183002,144566969,1,1,144383967,5150,8,COX6C,ENSG00000164919,8,99870615,99893762,protein_coding,cytochrome c oxidase subunit VIc,8:99877866-99894062,2,NA,uterine leiomyoma,NA,NA,M,Dom,fusion,T,TRUE
2,3,86359405,242841399,1,1,156481994,2319,2,CREB1,ENSG00000118260,2,207529697,207605988,protein_coding,cAMP responsive element binding protein 1,2:207529892-207603431,1,NA,"clear cell sarcoma, angiomatoid fibrous histiocytoma",NA,NA,M,Dom,"oncogene, fusion",T,TRUE
11,4,193863,56756664,1,1,56562801,6940,11,CREB3L1,ENSG00000157613,11,46277636,46321422,protein_coding,cAMP responsive element binding protein 3-like 1,11:46277661-46321422,1,Yes,myxofibrosarcoma,NA,NA,M,Dom,"TSG, fusion",T,TRUE
7,3,63033158,149589343,1,1,86556185,4927,7,CREB3L2,ENSG00000182158,7,137874979,138002119,protein_coding,cAMP responsive element binding protein 3-like 2,7:137874979-138002057,1,Yes,fibromyxoid sarcoma,NA,NA,M,Dom,"oncogene, fusion",T,TRUE
16,6,97610,4027688,1,1,3930078,9494,16,CREBBP,ENSG00000005339,16,3725054,3880734,protein_coding,CREB binding protein (CBP),16:3725054-3880726,1,Yes,"ALL, AML, DLBCL, B-NHL",NA,NA,L,Dom/Rec,"oncogene, TSG, fusion","T, N, F, Mis, O",TRUE
19,3,107593,23941459,2,2,23833866,1383,19,CRTC1,ENSG00000105662,19,18683575,18782333,protein_coding,CREB regulated transcription coactivator 1,19:18683678-18782333,1,Yes,salivary gland mucoepidermoid,NA,NA,E,Dom,"oncogene, fusion",T,TRUE
15,3,20170150,90784250,1,1,70614100,9205,15,CRTC3,ENSG00000140577,15,90529881,90645345,protein_coding,CREB regulated transcription coactivator 3,15:90530068-90642813,1,NA,salivary gland mucoepidermoid,NA,NA,E,Dom,fusion,T,TRUE
1,3,69511,41284406,1,1,41214895,1617,1,CSF3R,ENSG00000119535,1,36465669,36483322,protein_coding,colony stimulating factor 3 receptor (granulocyte),1:36466043-36483278,1,Yes,"aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS",NA,NA,L,Dom,oncogene,"Mis, N",TRUE
16,3,46508314,90142087,1,1,43633773,9687,16,CTCF,ENSG00000102974,16,67561831,67639189,protein_coding,CCCTC-binding factor,16:67562467-67639176,1,Yes,"endometrial, breast, head and neck cancer",NA,NA,E,Dom,TSG,"Mis, N",TRUE
3,4,239347,46539523,1,1,46300176,2651,3,CTNNB1,ENSG00000168036,3,41194741,41260096,protein_coding,"catenin (cadherin-associated protein), beta 1",3:41220551-41239888,1,Yes,"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types",NA,NA,"E, M, O",Dom,"oncogene, fusion","Mis, O, T",TRUE
2,3,86359405,242841399,1,1,156481994,2319,2,CUL3,ENSG00000036257,2,224470150,224585525,protein_coding,cullin 3,2:224470150-224585348,2,NA,lung cancer,NA,NA,E,NA,TSG,N,TRUE
7,3,63033158,149589343,1,1,86556185,4927,7,CUX1,ENSG00000257923,7,101815904,102283958,protein_coding,cut-like homeobox 1,7:101816011-102258233,1,Yes,"endometrial, melanoma, colorectal, AML, MDS, other tumour types",NA,NA,"E,L,M,O",Dom,"oncogene, TSG","N,F,S,Mis,O,T",TRUE
16,4,46508252,58757683,1,1,12249431,9682,16,CYLD,ENSG00000083799,16,50742032,50801935,protein_coding,familial cylindromatosis gene,16:50742760-50801935,1,Yes,cylindroma,cylindroma,"familial cylindromatosis, familial trichoepithelioma, Brooke-Spiegler syndrome",E,Rec,TSG,"Mis, N, F, S",TRUE
6,2,203466,90661576,1,1,90458110,4259,6,DAXX,ENSG00000204209,6,33318558,33323259,protein_coding,death-domain associated protein,6:33318558-33323014,1,Yes,"pancreatic neuroendocrine tumour, paediatric glioblastoma",NA,NA,E,Rec,"oncogene, TSG","Mis, F, N",TRUE
2,4,45895,86850022,1,1,86804127,2240,2,DCTN1,ENSG00000204843,2,74361154,74392087,protein_coding,dynactin 1,2:74361154-74380355,1,NA,"inflammatory myofibroblastic tumour, Spitzoid tumour",NA,NA,M,Dom,fusion,T,TRUE
11,4,193863,56756664,1,1,56562801,6940,11,DDB2,ENSG00000134574,11,47214435,47240555,protein_coding,damage-specific DNA binding protein 2,11:47214942-47239240,1,Yes,NA,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (E),E,Rec,"oncogene, TSG","Mis, N",TRUE
12,3,176089,133810703,1,1,133634614,7745,12,DDIT3,ENSG00000175197,12,57516584,57523630,protein_coding,DNA-damage-inducible transcript 3,12:57516589-57520517,1,Yes,liposarcoma,NA,NA,M,Dom,"oncogene, fusion",T,TRUE
11,2,48510654,129784966,1,1,81274312,7352,11,DDX10,ENSG00000178105,11,108665053,108940999,protein_coding,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10,11:108665025-108940930,1,Yes,AML*,NA,NA,L,Dom,"TSG, fusion",T,TRUE
23,7,2699968,41383297,1,1,38683329,12830,X,DDX3X,ENSG00000215301,X,41333348,41364472,protein_coding,"DEAD-box helicase 3, X-linked",X:41333284-41351668,1,Yes,"CLL, medulloblastoma",NA,NA,"L, O",NA,TSG,"Mis, N, F",TRUE
17,3,6115,72209858,1,1,72203743,10064,17,DDX5,ENSG00000108654,17,64498253,64508199,protein_coding,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5,17:64499616-64506521,1,Yes,prostate,NA,NA,E,Dom,"oncogene, fusion",T,TRUE
11,2,48510654,129784966,1,1,81274312,7352,11,DDX6,ENSG00000110367,11,118747763,118791226,protein_coding,DEAD (Asp-Glu-Ala-Asp) box polypeptide 6,11:118747766-118790948,1,Yes,B-NHL,NA,NA,L,Dom,"oncogene, fusion",T,TRUE
6,3,203397,24505221,1,1,24301824,4255,6,DEK,ENSG00000124795,6,18223860,18265997,protein_coding,DEK oncogene (DNA binding),6:18223868-18264823,1,NA,AML,NA,NA,L,Dom,"oncogene, fusion",T,TRUE
14,5,19889910,100759046,1,1,80869136,8598,14,DICER1,ENSG00000100697,14,95086228,95158010,protein_coding,"dicer 1, ribonuclease type III",14:95086228-95158010,1,Yes,"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types",pleuropulmonary blastoma,familial pleuropulmonary blastoma or DICER1 syndrome,"E, M, O",Rec,TSG,"Mis, F, N",TRUE
3,3,239347,72495945,1,1,72256598,2645,3,DNAH12,ENSG00000174844,3,57293699,57544359,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
19,3,107593,15784386,1,1,15676793,10931,19,DNM2,ENSG00000079805,19,10717967,10834209,protein_coding,dynamin 2,19:10718131-10831903,1,Yes,T-ALL,NA,NA,L,Rec,TSG,"F, N, S, Mis, O",TRUE
2,5,45895,25384325,1,1,25338430,2242,2,DNMT3A,ENSG00000119772,2,25227855,25342590,protein_coding,DNA (cytosine-5-)-methyltransferase 3 alpha,2:25227855-25342590,1,Yes,AML,NA,NA,L,Dom,TSG,"Mis, F, N, S",TRUE
19,3,107593,3284819,1,1,3177226,10930,19,DOT1L,ENSG00000104885,19,2163933,2232578,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
20,5,76962,44420682,1,1,44343720,11956,20,DSN1,ENSG00000149636,20,36751791,36774298,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
4,2,60367,190878661,1,1,190818294,3267,4,DUX4L1,ENSG00000280757,4,190084412,190085686,unprocessed_pseudogene,double homeobox 4 like 1,4:190084412-190085686,2,NA,soft tissue sarcoma,NA,NA,M,Dom,fusion,T,TRUE
5,3,40852451,180687212,1,1,139834761,3797,5,EBF1,ENSG00000164330,5,158695920,159100331,protein_coding,early B-cell factor 1,5:158695920-159099761,1,Yes,lipoma,NA,NA,M,Dom,"TSG, fusion",T,TRUE
6,4,292658,170892848,1,1,170600190,4263,6,ECT2L,ENSG00000203734,6,138795911,138904711,protein_coding,epithelial cell transforming sequence 2 oncogene-like,6:138796111-138904070,2,NA,ETP ALL,NA,NA,L,Rec,NA,"N, S, Mis",TRUE
7,3,228618,57245247,1,1,57016629,4810,7,EGFR,ENSG00000146648,7,55018820,55211628,protein_coding,"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)",7:55019101-55211628,1,Yes,"glioma, NSCLC",NSCLC,familial lung cancer,"E, O",Dom,oncogene,"A, O, Mis",TRUE
8,5,183002,144566969,1,1,144383967,5150,8,EIF3E,ENSG00000104408,8,108162787,108443496,protein_coding,"eukaryotic translation initiation factor 3, subunit E",8:108201743-108248765,1,Yes,colorectal,NA,NA,E,Dom,"TSG, fusion",T,TRUE
3,3,239347,197581147,2,2,197341800,664,3,EIF4A2,ENSG00000156976,3,186783205,186789901,protein_coding,"eukaryotic translation initiation factor 4A, isoform 2",3:186783547-186789900,1,Yes,NHL,NA,NA,L,Dom,fusion,T,TRUE
23,3,27839617,140983031,1,1,113143414,12879,X,ELF4,ENSG00000102034,X,130063955,130110951,protein_coding,E74-like factor 4 (ets domain transcription factor),X:130064928-130110495,1,Yes,AML,NA,NA,L,Dom,"oncogene, TSG, fusion",T,TRUE
1,4,145209330,232002332,1,1,86793002,2049,1,ELK4,ENSG00000158711,1,205597374,205634520,protein_coding,"ELK4, ETS-domain protein (SRF accessory protein 1)",1:205607943-205631962,1,Yes,prostate,NA,NA,E,Dom,"oncogene, fusion",T,TRUE
19,3,107593,23941459,2,2,23833866,1383,19,ELL,ENSG00000105656,19,18442663,18522116,protein_coding,ELL gene (11-19 lysine-rich leukemia gene),19:18442663-18522127,1,Yes,AL,NA,NA,L,Dom,"TSG, fusion",T,TRUE
5,3,40852451,180687212,1,1,139834761,3797,5,ELL2,ENSG00000118985,5,95885095,95961907,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7,3,63033158,78256342,1,1,15223184,4924,7,ELN,ENSG00000049540,7,74027773,74069909,protein_coding,elastin,7:74027789-74069907,2,NA,B-ALL,NA,NA,L,Dom,fusion,T,TRUE
2,4,45895,42174733,1,1,42128838,2237,2,EML4,ENSG00000143924,2,42169312,42332548,protein_coding,echinoderm microtubule associated protein like 4,2:42169350-42332548,1,Yes,NSCLC,NA,NA,E,Dom,fusion,T,TRUE
22,3,16157635,51219006,1,1,35061371,12379,22,EP300,ENSG00000100393,22,41091816,41180077,protein_coding,300 kd E1A-Binding protein gene,22:41091786-41180079,1,Yes,"colorectal, breast, pancreatic, AML, ALL, DLBCL",NA,NA,"L, E",Rec,"TSG, fusion","T,  N, F, Mis, O",TRUE
1,4,69511,63128836,1,1,63059325,1625,1,EPS15,ENSG00000085832,1,51354263,51519387,protein_coding,epidermal growth factor receptor pathway substrate 15 (AF1p),1:51354263-51519328,1,Yes,ALL,NA,NA,L,Dom,"TSG, fusion",T,TRUE
17,3,6115,44073734,1,1,44067619,10062,17,ERBB2,ENSG00000141736,17,39687914,39730426,protein_coding,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",17:39700080-39728662,1,Yes,"breast, ovarian, other tumour types, NSCLC, gastric",NA,NA,E,Dom,"oncogene, fusion","A, Mis, O",TRUE
12,3,176089,133810703,1,1,133634614,7745,12,ERBB3,ENSG00000065361,12,56076799,56103505,protein_coding,erb-b2 receptor tyrosine kinase 3,12:56079861-56103505,1,Yes,"colon, gastric, head and neck, bladder, skin",NA,NA,E,Dom,oncogene,"Mis, N",TRUE
12,3,176089,11199734,1,1,11023645,7744,12,ERC1,ENSG00000082805,12,989998,1495933,protein_coding,ELKS/RAB6-interacting/CAST family member 1,12:1027747-1495924,1,Yes,"papillary thyroid, Spitzoid tumour",NA,NA,E,Dom,fusion,T,TRUE
19,3,29567046,46511617,1,1,16944571,11498,19,ERCC2,ENSG00000104884,19,45349773,45370918,protein_coding,"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)",19:45349837-45370587,1,Yes,NA,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (D),E,Rec,TSG,"Mis, N, F, S",TRUE
2,3,45895,202712095,1,1,202666200,2232,2,ERCC3,ENSG00000163161,2,127257285,127294188,protein_coding,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)",2:127257290-127294176,1,Yes,NA,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (B),E,Rec,TSG,"Mis, S",TRUE
16,3,97610,24135112,2,2,24037502,1246,16,ERCC4,ENSG00000175595,16,13920138,13952348,protein_coding,"excision repair cross-complementing rodent repair deficiency, complementation group 4",16:13920157-13952345,1,Yes,NA,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (F),E,Rec,TSG,"Mis, N, F",TRUE
13,5,73284411,115010254,2,2,41725843,1158,13,ERCC5,ENSG00000134899,13,102845831,102875995,protein_coding,"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))",13:102844844-102876001,1,Yes,NA,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (G),E,Rec,TSG,"Mis, N, F",TRUE
21,5,9825769,40823981,1,1,30998212,12162,21,ERG,ENSG00000157554,21,38380027,38661963,protein_coding,v-ets erythroblastosis virus E26 oncogene like (avian),21:38380027-38661694,1,Yes,"Ewing sarcoma, prostate, AML",NA,NA,"M, E, L",Dom,"oncogene, fusion","T, A",TRUE
6,4,292658,170892848,1,1,170600190,4263,6,ESR1,ENSG00000091831,6,151651284,152129619,protein_coding,estrogen receptor 1,6:151690496-152103274,1,Yes,breast,NA,NA,E,Dom,"oncogene, TSG, fusion",Mis,TRUE
12,3,176089,133810703,1,1,133634614,7745,12,ETNK1,ENSG00000139163,12,22625075,22690665,protein_coding,ethanolamine kinase 1,12:22625075-22690665,1,Yes,"aCML, CMML, SM-AHD, HES",NA,NA,L,Dom,TSG,Mis,TRUE
7,3,228618,57245247,1,1,57016629,4810,7,ETV1,ENSG00000006468,7,13891229,13991425,protein_coding,ets variant gene 1,7:13891228-13989946,1,NA,"Ewing sarcoma, prostate",NA,NA,"M, E",Dom,"oncogene, fusion",T,TRUE
17,3,6115,44073734,1,1,44067619,10062,17,ETV4,ENSG00000175832,17,43527841,43579620,protein_coding,"ets variant gene 4 (E1A enhancer binding protein, E1AF)",17:43527844-43546432,1,NA,"Ewing sarcoma, prostate carcinoma",NA,NA,"M, E",Dom,"oncogene, fusion",T,TRUE
3,3,239347,197581147,2,2,197341800,664,3,ETV5,ENSG00000244405,3,186045536,186110318,protein_coding,ets variant gene 5,3:186046308-186109112,1,NA,prostate,NA,NA,E,Dom,"oncogene, fusion",T,TRUE
12,3,176089,133810703,1,1,133634614,7745,12,ETV6,ENSG00000139083,12,11649614,11895386,protein_coding,ets variant gene 6 (TEL oncogene),12:11649854-11895402,1,Yes,"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS",NA,NA,"L, E, M",Dom,"TSG, fusion",T,TRUE
22,3,16157635,51219006,1,1,35061371,12379,22,EWSR1,ENSG00000182944,22,29268009,29300530,protein_coding,Ewing sarcoma breakpoint region 1 (EWS),22:29268316-29300343,1,Yes,"Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma",NA,NA,"L, M, E",Dom,"oncogene, fusion",T,TRUE
8,5,183002,144566969,1,1,144383967,5150,8,EXT1,ENSG00000182197,8,117794490,118111899,protein_coding,multiple exostoses type 1 gene,8:117794490-118111853,1,NA,NA,"exostoses, osteosarcoma",multiple exostoses type 1,M,Rec,"TSG, fusion","Mis, N, F, S",TRUE
11,4,193863,56756664,1,1,56562801,6940,11,EXT2,ENSG00000151348,11,44095648,44284513,protein_coding,multiple exostoses type 2 gene,11:44096197-44245429,1,NA,NA,"exostoses, osteosarcoma",multiple exostoses type 2,M,Rec,TSG,"Mis, N, F, S",TRUE
17,3,6115,44073734,1,1,44067619,10062,17,EZH1,ENSG00000108799,17,42700270,42745069,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7,3,63033158,149589343,1,1,86556185,4927,7,EZH2,ENSG00000106462,7,148807257,148884625,protein_coding,enhancer of zeste homolog 2,7:148807385-148884278,1,Yes,DLBCL,NA,NA,L,Dom,"oncogene, TSG",Mis,TRUE
6,4,292658,170892848,1,1,170600190,4263,6,EZR,ENSG00000092820,6,158765738,158819418,protein_coding,ezrin,6:158765748-158819412,1,Yes,NSCLC,NA,NA,E,Dom,fusion,T,TRUE
7,3,63033158,149589343,1,1,86556185,4927,7,FAM131B,ENSG00000159784,7,143353395,143362815,protein_coding,"family with sequence similarity 131, member B",7:143353400-143362752,2,NA,pilocytic astrocytoma,NA,NA,O,Dom,fusion,T,TRUE
16,3,46508314,90142087,1,1,43633773,9687,16,FANCA,ENSG00000187741,16,89726683,89816977,protein_coding,"Fanconi anemia, complementation group A",16:89737549-89816646,1,NA,NA,"AML, leukaemia",Fanconi anaemia A,L,Rec,TSG,"D, Mis, N, F, S",TRUE
9,2,65602660,104449063,1,1,38846403,5923,9,FANCC,ENSG00000158169,9,95099054,95426796,protein_coding,"Fanconi anemia, complementation group C",9:95099054-95317702,1,NA,NA,"AML, leukaemia",Fanconi anaemia C,L,Rec,TSG,"D, Mis, N, F, S",TRUE
3,2,239347,10189929,4,4,9950582,160,3,FANCD2,ENSG00000144554,3,10026370,10101937,protein_coding,"Fanconi anemia, complementation group D2",3:10026414-10099660,1,Yes,NA,"AML, leukaemia",Fanconi anaemia D2,L,Rec,TSG,"D, Mis, N, F",TRUE
6,2,203466,90661576,1,1,90458110,4259,6,FANCE,ENSG00000112039,6,35452315,35467106,protein_coding,"Fanconi anemia, complementation group E",6:35452361-35467103,1,NA,NA,"AML, leukaemia",Fanconi anaemia E,L,Rec,TSG,"N, F, S",TRUE
11,5,193863,24784862,1,1,24590999,6945,11,FANCF,ENSG00000183161,11,22622533,22625823,protein_coding,"Fanconi anemia, complementation group F",11:22622519-22626787,1,NA,NA,"AML, leukaemia",Fanconi anaemia F,L,Rec,TSG,"N, F",TRUE
9,2,154795,35563886,1,1,35409091,5653,9,FANCG,ENSG00000221829,9,35073793,35082444,protein_coding,"Fanconi anemia, complementation group G",9:35073838-35080016,1,NA,NA,"AML, leukaemia",Fanconi anaemia G,L,Rec,TSG,"Mis, N, F, S",TRUE
14,3,19889814,92583927,1,1,72694113,8588,14,FANCM,ENSG00000187790,14,45135909,45200890,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10,3,95096,129249662,2,2,129154566,987,10,FAS,ENSG00000026103,10,88953813,89029605,protein_coding,Fas cell surface death receptor,10:88990657-89015785,1,Yes,"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related",NA,NA,"L, E, O",Rec,TSG,Mis,TRUE
4,2,60367,190878661,1,1,190818294,3267,4,FAT1,ENSG00000083857,4,186586717,186726722,protein_coding,FAT atypical cadherin 1,4:186587783-186723855,1,Yes,"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma",pancreatic,NA,"E, L",NA,TSG,"Mis, N, F, S",TRUE
2,4,45895,86850022,1,1,86804127,2240,2,FBXO11,ENSG00000138081,2,47785204,47906554,protein_coding,F-box protein 11,2:47806920-47905793,1,Yes,DLBCL,NA,NA,L,Rec,TSG,"Mis, F, D",TRUE
4,2,60367,190878661,1,1,190818294,3267,4,FBXW7,ENSG00000109670,4,152320544,152536353,protein_coding,"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)",4:152320544-152536063,1,Yes,"colorectal, endometrial, T-ALL",NA,NA,"E, L",Rec,TSG,"Mis, N, D, F",TRUE
1,4,145209330,177199323,1,1,31989993,2048,1,FCGR2B,ENSG00000072694,1,161661958,161679490,protein_coding,"Fc fragment of IgG, low affinity IIb, receptor for (CD32)",1:161663161-161678654,1,Yes,ALL,NA,NA,L,Dom,"oncogene, fusion",T,TRUE
1,2,144052752,161136843,1,1,17084091,2031,1,FCRL4,ENSG00000163518,1,157573747,157598085,protein_coding,Fc receptor-like 4,1:157573749-157598080,1,NA,B-NHL,NA,NA,L,Dom,"oncogene, fusion",T,TRUE
2,3,86359405,242841399,1,1,156481994,2319,2,FEV,ENSG00000163497,2,218981087,218985566,protein_coding,FEV protein - (HSRNAFEV),2:218981087-218985657,1,NA,Ewing sarcoma,NA,NA,M,Dom,"oncogene, fusion",T,TRUE
4,3,53211,47034626,1,1,46981415,3234,4,FGFBP1,ENSG00000137440,4,15934507,15948427,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
8,3,182710,43054553,1,1,42871843,5115,8,FGFR1,ENSG00000077782,8,38400215,38468834,protein_coding,fibroblast growth factor receptor 1,8:38411138-38467845,1,Yes,"MPN, NHL, salivary adenoma",NA,NA,L,Dom,"oncogene, fusion",T,TRUE
10,3,95096,129249662,2,2,129154566,987,10,FGFR2,ENSG00000066468,10,121478331,121598770,protein_coding,fibroblast growth factor receptor 2,10:121479857-121598403,1,Yes,"gastric, NSCLC, endometrial",NA,NA,E,Dom,"oncogene, fusion",Mis,TRUE
4,4,53210,2826400,1,1,2773190,3232,4,FGFR3,ENSG00000068078,4,1793286,1808873,protein_coding,fibroblast growth factor receptor 3,4:1793312-1808872,1,Yes,"bladder, MM, T-cell lymphoma",NA,NA,"L, E",Dom,"oncogene, fusion","Mis, T",TRUE
5,3,40852451,180687212,1,1,139834761,3797,5,FGFR4,ENSG00000160867,5,177086456,177098156,protein_coding,fibroblast growth factor receptor 4,5:177086886-177098144,1,Yes,rhabdomyosarcoma,NA,NA,M,Dom,oncogene,Mis,TRUE
1,4,145209330,249141454,1,1,103932124,2050,1,FH,ENSG00000091483,1,241497098,241519799,protein_coding,fumarate hydratase,1:241497603-241519761,1,NA,NA,"leiomyomatosis, renal",hereditary leiomyomatosis and renal cell cancer,"E, M",Rec,TSG,"Mis, N, F",TRUE
3,3,239347,72495945,1,1,72256598,2645,3,FHIT,ENSG00000189283,3,59747277,61251466,protein_coding,fragile histidine triad gene,3:59751407-61251459,1,Yes,pleomorphic salivary gland adenoma,NA,NA,E,Dom,"TSG, fusion",T,TRUE
4,3,59475,134085208,1,1,134025733,3250,4,FIP1L1,ENSG00000145216,4,53377562,53464382,protein_coding,FIP1 like 1 (S. cerevisiae),4:53377645-53459668,1,Yes,idiopathic hypereosinophilic syndrome,NA,NA,L,Dom,fusion,T,TRUE
17,2,6069,21147404,1,1,21141335,9970,17,FLCN,ENSG00000154803,17,17212200,17237326,protein_coding,folliculin,17:17212212-17237139,1,NA,NA,"renal, fibrofolliculomas, trichodiscomas",Birt-Hogg-Dube syndrome,"E, M",Rec,TSG,"Mis. N, F",TRUE
11,2,48510654,129784966,1,1,81274312,7352,11,FLI1,ENSG00000151702,11,128686535,128813267,protein_coding,Friend leukemia virus integration 1,11:128693770-128813267,1,NA,Ewing sarcoma,NA,NA,M,Dom,"oncogene, fusion",T,TRUE
13,3,19600475,28367061,1,1,8766586,8273,13,FLT3,ENSG00000122025,13,28003274,28100592,protein_coding,fms-related tyrosine kinase 3,13:28003274-28100592,1,Yes,"AML, ALL",NA,NA,L,Dom,oncogene,"Mis, O",TRUE
5,3,40852451,180687212,1,1,139834761,3797,5,FLT4,ENSG00000037280,5,180601506,180649634,protein_coding,fms-related tyrosine kinase 4,5:180601506-180649624,1,Yes,soft tissue sarcoma,NA,NA,M,Dom,oncogene,A,TRUE
